horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,4.476768587787506e-06,0.002115837561767799,0.0016610080325090773,0.0021950165697503937,0.0016739447862443178,0.002193617208908996,1.0
0 days 00:02:00,4.498383108997498e-06,0.0021209392044557757,0.0016742545115833868,0.0022125142386580296,0.001728862055923195,0.0022110500899745894,1.0
0 days 00:03:00,4.686631259869588e-06,0.002164862873225366,0.0017031381478520846,0.002250797260581354,0.0017757693590923498,0.0022492101957103175,1.0
0 days 00:04:00,4.7621160633091705e-06,0.0021822273170568575,0.0017230648676834284,0.0022771713947817504,0.0017823372104353965,0.0022755402088740287,1.0
0 days 00:05:00,4.856577290444908e-06,0.0022037643454881715,0.0017395127667974644,0.0022992598658336805,0.0018131618772698884,0.002297562639514951,1.0
0 days 00:06:00,4.946245570282265e-06,0.0022240156407458706,0.0017481893736642842,0.0023104542957553403,0.0018279113970156844,0.002308686419124316,1.0
0 days 00:07:00,4.967292745510594e-06,0.0022287424134499246,0.0017489902595485066,0.002311697349303997,0.0018424630869050434,0.0023099077175568264,1.0
0 days 00:08:00,4.965277337714945e-06,0.0022282902274423197,0.0017550332251736675,0.0023197105360144854,0.0018229903163535786,0.0023179103586969743,1.0
0 days 00:09:00,5.127053562325616e-06,0.00226429979515205,0.0017828663742362125,0.0023562694883790328,0.0019106924563196904,0.0023543921451275526,1.0
0 days 00:10:00,5.258503784910825e-06,0.002293142774645928,0.001803997630282654,0.0023842113333399015,0.0019430406439815918,0.002382270207838433,1.0
0 days 00:11:00,5.258003506475339e-06,0.0022930336906542255,0.0018027578215241424,0.002382657229461106,0.001957912119973837,0.002380782865412115,1.0
0 days 00:12:00,5.3388838598891904e-06,0.002310602488505799,0.0018129114598617185,0.00239616347493031,0.0019893496348907577,0.0023942263217825444,1.0
0 days 00:13:00,5.397382744959888e-06,0.0023232267958509536,0.0018171583081064216,0.002401755978121825,0.0020046811393285755,0.0023997338289708306,1.0
0 days 00:14:00,5.5486543537255505e-06,0.002355558183048245,0.0018547085035296104,0.002451227810433748,0.002093464507770961,0.0024491741241287335,1.0
0 days 00:15:00,5.667491693529911e-06,0.0023806494268434216,0.0018781727899894948,0.00248241713799216,0.0021092209512701848,0.002480262574811154,1.0
0 days 00:16:00,5.7723163620614375e-06,0.0024025645385840184,0.0018919221787830065,0.0025003922821109636,0.002092046566149236,0.002498158850890081,1.0
0 days 00:17:00,5.8283427292503745e-06,0.002414196083430336,0.00189349825232564,0.0025024125886156656,0.002077596581034257,0.002500153693506757,1.0
0 days 00:18:00,5.895334158063779e-06,0.0024280309219743843,0.0019024081885554156,0.00251459135999256,0.002026008579095937,0.002512234929864632,1.0
0 days 00:19:00,5.959864355560042e-06,0.002441283341924907,0.0019140493424199476,0.002530152741057126,0.0020990571478032316,0.0025277319638505186,1.0
0 days 00:20:00,6.08941524125718e-06,0.0024676740549061946,0.001937825722644483,0.0025611558789354893,0.0020827228939707667,0.0025586716287594874,1.0
0 days 00:21:00,6.205796673209945e-06,0.0024911436476465873,0.0019380595083039742,0.002562270793122587,0.0021251426583627337,0.002559706378144136,1.0
0 days 00:22:00,6.249525411292924e-06,0.002499905080456641,0.001951629801123976,0.0025797845083877086,0.0021327652763992668,0.0025772078389639935,1.0
0 days 00:23:00,6.314480132178286e-06,0.0025128629354141635,0.0019644267669927384,0.0025968356044662744,0.0021440625576053347,0.002594232514246758,1.0
0 days 00:24:00,6.39680997067515e-06,0.002529191564645737,0.0019780229108737335,0.002614765538235045,0.002145195054965863,0.0026120924426740882,1.0
0 days 00:25:00,6.555329456614138e-06,0.002560337762213052,0.0020015736446393,0.0026458926120047077,0.002194144258434855,0.0026431128829427775,1.0
0 days 00:26:00,6.6622515199380675e-06,0.002581133766378269,0.0020211909710093068,0.002672225489024349,0.002196190045250913,0.002669377930198197,0.9629629629629619
0 days 00:27:00,6.798522517530273e-06,0.0026073976523595843,0.0020516572552298565,0.002712129507960917,0.0021734458695021565,0.002709220795990369,1.0
0 days 00:28:00,6.863480372243142e-06,0.0026198244926412804,0.0020626832164973505,0.002727172592081273,0.0023144740529083786,0.0027242252080363905,1.0
0 days 00:29:00,6.950591819440981e-06,0.00263639750785821,0.002077244419487298,0.002746726781277631,0.0023224224388614227,0.0027436954754174042,1.0
0 days 00:30:00,6.999768609956868e-06,0.0026457075820953586,0.002079033121230457,0.002749205487056816,0.002110936230584027,0.0027460839963462796,1.0
0 days 00:31:00,7.20155407285948e-06,0.0026835711417548596,0.0021151614450025946,0.0027968131574040433,0.002224428339247778,0.002793618223182026,0.9629629629629619
0 days 00:32:00,7.327116335939423e-06,0.0027068646689370015,0.0021408877431571827,0.0028307612417248357,0.0023052136534372387,0.002827513246072791,0.9259259259259274
0 days 00:33:00,7.40234624039136e-06,0.00272072531513039,0.0021461601339159003,0.0028380480842830347,0.002375126976598656,0.002834782061124544,0.9629629629629619
0 days 00:34:00,7.8901360102426e-06,0.0028089385913975763,0.0022558703581635337,0.002982405043477951,0.00239849879603997,0.0029787050415350236,0.9629629629629619
0 days 00:35:00,8.153922483572956e-06,0.00285550739511789,0.002286141636327392,0.003022450961395917,0.0023578640005984847,0.0030185310773795937,0.9259259259259274
0 days 00:36:00,8.465907524940079e-06,0.0029096232616852786,0.0023387377676583956,0.0030907781666096174,0.0027596916792288935,0.0030865773540047353,0.9629629629629619
0 days 00:37:00,8.539832349927894e-06,0.002922299154762889,0.0023504245994369413,0.0031069760857943135,0.002716333467528252,0.003102761187822864,0.9259259259259274
0 days 00:38:00,8.614856664384987e-06,0.0029351076069515725,0.002371229732351224,0.0031340458177892133,0.002604598484802728,0.00312980195336153,0.9259259259259274
0 days 00:39:00,8.665426158774108e-06,0.0029437095914464978,0.0023718786298564942,0.003134947784990391,0.0025977091855205127,0.0031306636261696497,0.9259259259259274
0 days 00:40:00,8.722510960835345e-06,0.002953389740761511,0.002379568000806062,0.0031453988171185193,0.0027149115267497445,0.0031410856716716506,0.9259259259259274
0 days 00:41:00,8.853219914167109e-06,0.00297543608806627,0.002377197888877476,0.0031419675740936015,0.0027031177881546003,0.003137515430790702,0.9259259259259274
0 days 00:42:00,9.022165977002619e-06,0.0030036920576188594,0.0024123084165633413,0.0031891844114139145,0.002689848502703165,0.0031845993077791596,0.9259259259259274
0 days 00:43:00,9.34837624600067e-06,0.0030575114465853878,0.002476941467984675,0.0032741693617238665,0.0026793185972259995,0.00326953338805043,0.9259259259259274
0 days 00:44:00,9.364583777070047e-06,0.0030601607436652814,0.002472409318375293,0.0032682329096431484,0.0025823875752463868,0.0032635864355467087,0.9259259259259274
0 days 00:45:00,9.48954393584987e-06,0.0030805103369165748,0.0024886162434298448,0.003289784023498471,0.002660822403708784,0.003285008555852606,0.9259259259259274
0 days 00:46:00,9.476026898338715e-06,0.003078315594337058,0.0024903184199848993,0.003291912926539034,0.0026498399579275482,0.003287176816378301,0.9259259259259274
0 days 00:47:00,9.694503385234408e-06,0.0031135997471149705,0.002516025444732381,0.003326112520425778,0.002641507845480706,0.003321230326584726,0.9259259259259274
0 days 00:48:00,9.75692163735967e-06,0.0031236071515732687,0.002519114089825622,0.0033302170580126883,0.002599851998087319,0.003325270352759757,0.9259259259259274
