ds,yhat,yhat_lower,yhat_upper
2025-08-25 11:30:00,0.794182128114108,0.7891622073598334,0.7992952278954008
2025-08-25 11:35:00,0.7942952597288361,0.7887604846590031,0.7994632131107127
2025-08-25 11:40:00,0.7943940524728181,0.7891912949966352,0.7994847115434941
2025-08-25 11:45:00,0.7944775266390768,0.7897330220005861,0.799233447052776
2025-08-25 11:50:00,0.7945449561535203,0.7896256927331734,0.7991400167043505
2025-08-25 11:55:00,0.7945958825771119,0.7899116559945806,0.7999414584497918
2025-08-25 12:00:00,0.7946301234050157,0.789334220199457,0.8002612101121083
2025-08-25 12:05:00,0.7946477744406145,0.7894286153647483,0.7997902542222355
2025-08-25 12:10:00,0.794649206165109,0.789316829911663,0.7994045231705498
2025-08-25 12:15:00,0.7946350541705526,0.7892771642192491,0.7998285140225206
2025-08-25 12:20:00,0.79460620386909,0.7893348492435391,0.7995723882643275
2025-08-25 12:25:00,0.7945637698327452,0.7893060967955324,0.7998915963236267
2025-08-25 12:30:00,0.7945090702502703,0.7891857562647989,0.7990587372594392
2025-08-25 12:35:00,0.794443597107398,0.7894476740451537,0.7995729599419575
2025-08-25 12:40:00,0.7943689828028326,0.789307058185126,0.79962407773546
2025-08-25 12:45:00,0.7942869639972988,0.7891184538823285,0.7992867740088186
2025-08-25 12:50:00,0.7941993435624071,0.78909498446694,0.7994563320306338
2025-08-25 12:55:00,0.79410795153683,0.7891134620820442,0.7992250172584783
2025-08-25 13:00:00,0.794014606022559,0.7885938086105428,0.798711582645463
2025-08-25 13:05:00,0.7939210749462954,0.7886249487152021,0.7992562205498164
2025-08-25 13:10:00,0.7938290395889904,0.7891977744923407,0.7987899203149029
2025-08-25 13:15:00,0.7937400607322549,0.7887462713195803,0.7986486496395558
2025-08-25 13:20:00,0.7936555482043589,0.7884065843491986,0.7987579006941298
2025-08-25 13:25:00,0.7935767345111806,0.7883641474965195,0.798893459696165
2025-08-25 13:30:00,0.7935046531327655,0.7882502770776691,0.798269304622154
2025-08-25 13:35:00,0.793440121944181,0.7882474459786032,0.7980170061817152
2025-08-25 13:40:00,0.7933837320810055,0.788016732371221,0.7982685908728618
2025-08-25 13:45:00,0.793335842433851,0.7882507595017183,0.7986696239423248
2025-08-25 13:50:00,0.7932965798067939,0.7880258394131184,0.7981117987396966
2025-08-25 13:55:00,0.7932658446340105,0.7885817874583598,0.7986501057067209
2025-08-25 14:00:00,0.7932433220047268,0.7881946454660603,0.7986807984373596
2025-08-25 14:05:00,0.7932284976177201,0.7885576204236809,0.7983520568323328
2025-08-25 14:10:00,0.7932206781622033,0.7879113417683826,0.798493649313658
2025-08-25 14:15:00,0.7932190155168185,0.7881031535208408,0.7980411527823188
2025-08-25 14:20:00,0.7932225340696659,0.7883024900832329,0.7983186571810815
2025-08-25 14:25:00,0.7932301603906949,0.788355907748419,0.798484563365313
2025-08-25 14:30:00,0.7932407544410353,0.7884240655775379,0.7982698946502386
2025-08-25 14:35:00,0.7932531414755313,0.7879908166088119,0.7982758525976982
2025-08-25 14:40:00,0.7932661437942765,0.788237819369762,0.7982632524454245
2025-08-25 14:45:00,0.7932786115148615,0.7881185316684001,0.7982836029312335
2025-08-25 14:50:00,0.793289451581492,0.7880485308263814,0.7986007028041691
2025-08-25 14:55:00,0.7932976542865992,0.7881656447407339,0.7984006657301694
2025-08-25 15:00:00,0.793302316662884,0.788348351458102,0.7983323716617502
2025-08-25 15:05:00,0.7933026621993483,0.7877320038726331,0.798438790424457
2025-08-25 15:10:00,0.7932980564458868,0.7878645393306919,0.7986688520742535
2025-08-25 15:15:00,0.7932880181902648,0.7882290394368865,0.7978857174704611
2025-08-25 15:20:00,0.793272226020262,0.7883791586157528,0.7982639767193328
2025-08-25 15:25:00,0.7932505202122452,0.7882014616014774,0.7983934564283587
2025-08-25 15:30:00,0.7932229000175633,0.7882353115021142,0.7982132603233029
2025-08-25 15:35:00,0.7931895165454362,0.7880871976119974,0.7982530088675454
2025-08-25 15:40:00,0.7931506615565644,0.7877376504215323,0.7981005555960475
2025-08-25 15:45:00,0.7931067525912087,0.7878019045723215,0.7982110399303229
2025-08-25 15:50:00,0.7930583149479988,0.7880412618283377,0.7982037417706195
2025-08-25 15:55:00,0.7930059611075769,0.7877581554283621,0.798297746613528
2025-08-25 16:00:00,0.79295036825589,0.7880155218790604,0.7981282900190949
2025-08-25 16:05:00,0.7928922546010981,0.7876973197694497,0.797908136230353
2025-08-25 16:10:00,0.7928323551981119,0.7876656837849493,0.7982698691957112
2025-08-25 16:15:00,0.7927713979943541,0.787663278622968,0.7979359243712995
2025-08-25 16:20:00,0.7927100807906512,0.7873438545334842,0.7977181747366182
2025-08-25 16:25:00,0.792649049768286,0.7874585284316097,0.7975444040443402
2025-08-25 16:30:00,0.7925888801776068,0.7875518590904638,0.7970232853992687
2025-08-25 16:35:00,0.7925300597079278,0.7870207730042975,0.7979017271757253
2025-08-25 16:40:00,0.7924729749711595,0.7874567024216114,0.7982580069444783
2025-08-25 16:45:00,0.7924179014324475,0.7875150358218068,0.797541822386884
2025-08-25 16:50:00,0.7923649970148464,0.7869731747941417,0.7975266752569644
2025-08-25 16:55:00,0.7923142994924731,0.7871143630600694,0.7977370005493386
2025-08-25 17:00:00,0.7922657276755386,0.7870264948991582,0.797188054560474
2025-08-25 17:05:00,0.792219086277351,0.786939002156289,0.7975577436291894
2025-08-25 17:10:00,0.7921740742485971,0.7863457892110935,0.7972727046415534
2025-08-25 17:15:00,0.7921302962654774,0.7870209732492205,0.7973938056851242
