horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,4.867598817790959e-06,0.0022062635422340094,0.0018178493501465852,0.0024170222737337696,0.002157611826001126,0.0024131256318614992,1.0
0 days 00:02:00,4.950441516676869e-06,0.002224958767410504,0.0018397713972770902,0.002446177445951457,0.002256988918294536,0.0024422246047967437,1.0
0 days 00:03:00,5.182483228786337e-06,0.0022765068040281225,0.001880767824994193,0.0025007918088521125,0.0023660153034306443,0.0024966498083536445,1.0
0 days 00:04:00,5.258938870967844e-06,0.002293237639445124,0.0019051268139734893,0.0025329858243124184,0.0024657751292848436,0.002528781246984184,1.0
0 days 00:05:00,5.380996698040859e-06,0.0023196975445175733,0.0019099534714930623,0.002539684199141929,0.0025482005649683664,0.00253538106457624,1.0
0 days 00:06:00,5.55229229133319e-06,0.002356330259393447,0.0019479078648871884,0.0025900484228955564,0.0026472282974961563,0.0025855885201979192,1.0
0 days 00:07:00,5.682066791006066e-06,0.0023837086212467468,0.001965159425025398,0.00261323428501508,0.002745421445221831,0.0026086657765361752,1.0
0 days 00:08:00,5.667625695606158e-06,0.002380677570694141,0.001966907865265221,0.0026155121604248197,0.002843766637838842,0.002610949221917489,1.0
0 days 00:09:00,5.842130999975112e-06,0.002417050061536813,0.0019978563288209385,0.002656713068620524,0.002938675308319522,0.002652022011938062,1.0
0 days 00:10:00,6.006563932603133e-06,0.0024508292336682972,0.002044317345013383,0.0027182459191859402,0.003034968734963698,0.0027134259347991983,1.0
0 days 00:11:00,6.1292900693220455e-06,0.0024757403073266885,0.002053449345104593,0.002730560524916173,0.0031310242844531013,0.0027256371227226024,1.0
0 days 00:12:00,6.272972321943036e-06,0.0025045902503090275,0.0020781526846777552,0.0027634495688024334,0.0032259924242955453,0.002758412214699923,1.0
0 days 00:13:00,6.404465821099821e-06,0.0025307046096097073,0.0020953160039675588,0.0027862759174154227,0.003320280625344682,0.002781101267248995,1.0
0 days 00:14:00,6.5338918946421796e-06,0.002556147862437183,0.0021239444148808094,0.0028243706712101878,0.0034081391303493027,0.0028191437241716216,1.0
0 days 00:15:00,6.727473061196869e-06,0.002593737276826022,0.0021533587482683164,0.002863511053749424,0.003486202361127406,0.00285811457256829,1.0
0 days 00:16:00,6.8929519175914245e-06,0.0026254431849863794,0.0021770712062803704,0.0028951019911377003,0.0035744483219817425,0.0028895523091066674,1.0
0 days 00:17:00,6.97300866043099e-06,0.0026406455007120873,0.0021872951415054763,0.002908682272578584,0.0035884147560614247,0.0029030572982320126,1.0
0 days 00:18:00,7.1643774017699115e-06,0.0026766354629963922,0.0022227241787025585,0.0029557211151826565,0.003707639031267279,0.0029499084661206605,1.0
0 days 00:19:00,7.285531022889434e-06,0.002699172284773507,0.002234509671761954,0.0029715811549575546,0.0037288168934521693,0.0029656828272755197,1.0
0 days 00:20:00,7.4059366731278554e-06,0.0027213850652062924,0.0022460796512382628,0.0029870149895676566,0.00365023870710477,0.0029809998463468518,1.0
0 days 00:21:00,7.638056313826808e-06,0.0027637033693627125,0.0023003762983837654,0.0030589605636504244,0.0036708798641837746,0.0030527882765402463,1.0
0 days 00:22:00,7.686321835430736e-06,0.0027724216554180095,0.0022852221305700617,0.0030391534180790047,0.0036943156220469596,0.0030329407656822377,1.0
0 days 00:23:00,7.888343057183074e-06,0.0028086194219194374,0.002320406857360832,0.0030858554079082542,0.0037804747791927947,0.003079457344360565,1.0
0 days 00:24:00,8.011066387454631e-06,0.0028303827280872513,0.002339906217570721,0.0031116547923824567,0.0037961418363634436,0.003105122550809244,1.0
0 days 00:25:00,8.166741736351555e-06,0.0028577511676756524,0.0023494749067025054,0.003124713274731121,0.0038114517516571475,0.003118061782012845,1.0
0 days 00:26:00,8.350080090791353e-06,0.0028896505136073725,0.0023742678932596323,0.0031577499068697265,0.003960803869937641,0.0031509414673990196,1.0
0 days 00:27:00,8.514294911466308e-06,0.002917926474650502,0.0023944745681399454,0.003184662737301093,0.003855600089135979,0.0031777408107531366,1.0
0 days 00:28:00,8.597059930229371e-06,0.00293207433913763,0.002404711852066487,0.003198270664216976,0.003799010187095858,0.0031912900194339885,1.0
0 days 00:29:00,8.792093971770733e-06,0.002965146534620293,0.002433605029069228,0.0032367685540051205,0.003918366444813271,0.0032296260050865416,1.0
0 days 00:30:00,8.842588458521028e-06,0.002973649014009728,0.0024145215529132284,0.0032115407837959367,0.003906436720190821,0.003204240970588204,1.0
0 days 00:31:00,9.022847494764562e-06,0.0030038055021529876,0.002448423290911047,0.0032565943242440776,0.003923517414794446,0.003249205855493563,1.0
0 days 00:32:00,9.257669942105233e-06,0.0030426419345866568,0.0024834499285288116,0.00330323596020015,0.003936345098190227,0.0032956736104120324,1.0
0 days 00:33:00,9.400836652639026e-06,0.0030660783833162232,0.0025079689867115833,0.00333568281340528,0.003952495698954461,0.0033280166398471367,1.0
0 days 00:34:00,9.609523345485542e-06,0.0030999231192862737,0.0025416086959339154,0.003380279652423067,0.003972899404155014,0.003372430359958087,1.0
0 days 00:35:00,9.689245577591962e-06,0.003112755303198753,0.002542024337799407,0.0033810337325119663,0.0039872486105427705,0.003373096034379179,1.0
0 days 00:36:00,9.921703497678218e-06,0.003149873568522746,0.002563182609493144,0.0034092249090543134,0.003936112861928934,0.0034010723018102484,1.0
