horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,7.83251459459216e-06,0.002798663001254735,0.0021962828683504305,0.02254224320024356,0.020453547821540546,0.022173044584591323,1.0
0 days 00:02:00,8.678295328855637e-06,0.002945894656781813,0.0023397244228488233,0.02406699724938524,0.01877087545240737,0.02365052834073203,1.0
0 days 00:03:00,9.001011351674257e-06,0.003000168553877308,0.002356255881947121,0.02425107997274581,0.020490476864325664,0.023822763347059905,1.0
0 days 00:04:00,9.632211925797297e-06,0.003103580500937151,0.002391585266026088,0.024641798490526334,0.022660174368937934,0.024187525987046515,1.0
0 days 00:05:00,9.9078526678306e-06,0.003147674167989851,0.0024517782701874123,0.025262343146238264,0.022039817838970223,0.024794369494735374,1.0
0 days 00:06:00,1.0409209924486663e-05,0.003226330721498753,0.0025509193384273855,0.026282867723910475,0.024774380109474626,0.02580306435980123,1.0
0 days 00:07:00,9.97055559290354e-06,0.0031576186585627374,0.0024593924908411953,0.025311943070481124,0.026999806269134466,0.024859803085299365,1.0
0 days 00:08:00,9.829758819682223e-06,0.0031352446187948753,0.0024274647562505247,0.02494001572763782,0.02886067391374489,0.024507814324481736,1.0
0 days 00:09:00,9.351004511209046e-06,0.0030579412210193064,0.0024804877302295886,0.02543512931731856,0.027577278809873082,0.025026456464821156,1.0
0 days 00:10:00,9.81171704821142e-06,0.003132366046331658,0.00249135078065392,0.025608005139789003,0.027216221558908786,0.025167964654168706,1.0
0 days 00:11:00,9.880306620807514e-06,0.003143295503258883,0.002536903999960375,0.026116648945985144,0.022922017012134383,0.025652955886384998,1.0
0 days 00:12:00,1.0195594406847209e-05,0.0031930540876795696,0.0025220815901417573,0.026032966064442498,0.020249836345852035,0.025542152246681882,1.0
0 days 00:13:00,1.005257302940289e-05,0.0031705792892471386,0.0024782477137966392,0.02557726220774692,0.019305414555733626,0.025093079223384773,1.0
0 days 00:14:00,1.0353717680629485e-05,0.003217719329063597,0.0024053444906160723,0.024907711338446104,0.017518141426909696,0.024388088459597557,1.0
0 days 00:15:00,1.0108749433869677e-05,0.003179425959803071,0.002365065087766887,0.0244965635159273,0.015302437427653224,0.023984066336922988,1.0
0 days 00:16:00,9.980212427358875e-06,0.0031591474209601038,0.0023642975898942355,0.024465937371192903,0.013845508200626555,0.02396030623622933,1.0
0 days 00:17:00,1.0335987321112713e-05,0.0032149630357303817,0.0025179835397966047,0.02598488688502809,0.01565373667488528,0.025476999133137668,1.0
0 days 00:18:00,1.104094100541472e-05,0.003322791146824416,0.0025997895633603496,0.026898804452856084,0.012218328710935424,0.026342182228878352,1.0
0 days 00:19:00,1.1650228437437029e-05,0.0034132430967390866,0.002634811634483463,0.027319065059450864,0.011980846432834084,0.026722447749114753,1.0
0 days 00:20:00,1.2531958399137564e-05,0.0035400506209851807,0.0027296881431124673,0.028364736044879213,0.012450886574151233,0.027718535492275265,1.0
0 days 00:21:00,1.2443746783520794e-05,0.003527569529225582,0.0026545516568208354,0.027624506980689523,0.014979823324883285,0.0269771028165266,1.0
0 days 00:22:00,1.280564337652153e-05,0.0035784973629334324,0.0026521729625987797,0.027643876744543827,0.015299348729434198,0.026973472876299476,1.0
0 days 00:23:00,1.2776072903874223e-05,0.0035743632864993205,0.00267965647842016,0.027908190772468033,0.012952718969499904,0.027238772780982357,1.0
0 days 00:24:00,1.3147371439644235e-05,0.003625930423993852,0.0026834138403747064,0.027987227901686562,0.01208284599775271,0.027294129266604572,1.0
