horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,1.347051903269038e-05,0.003670220570032594,0.002628445448694207,0.0029827467116639063,0.002287270347018778,0.0029786094792206112,1.0
0 days 00:02:00,1.3466667117096709e-05,0.0036696957799110144,0.0027536800713853227,0.0031249110260504927,0.0025430193431684816,0.0031229127772847143,1.0
0 days 00:03:00,1.692409588204482e-05,0.004113890601613613,0.0034592079512884913,0.003923323202804051,0.0031959052793055507,0.003923427997796734,1.0
0 days 00:04:00,1.6477141037167173e-05,0.004059204483290682,0.0034552147604260328,0.003919172499714262,0.003351238862883975,0.003916982896768659,1.0
0 days 00:05:00,2.0575843890668688e-05,0.004536060393190184,0.0033079949396266073,0.0037540059019111754,0.0020132844947158514,0.003747930015021786,1.0
0 days 00:06:00,2.2019853685797367e-05,0.0046925316925725035,0.0036615324154804785,0.0041403092872502115,0.003280615238328183,0.004133049308833042,1.0
0 days 00:07:00,1.9226934114524672e-05,0.004384852804202744,0.0034753475689267843,0.003929615713565593,0.004018628007467085,0.003928540639239517,1.0
0 days 00:08:00,2.4102210230409762e-05,0.0049094001904927,0.003813418315072842,0.0043267348466081365,0.0024843983110009247,0.004320746306926027,1.0
0 days 00:09:00,2.155100849406862e-05,0.004642306376583585,0.003726820436264003,0.004222185004821112,0.0033734720016101016,0.004218612250897827,1.0
0 days 00:10:00,2.0136003042210416e-05,0.004487315794794302,0.003373684977555483,0.003821066052751884,0.0027851980030431443,0.003815489575425171,1.0
0 days 00:11:00,2.0764338245368312e-05,0.004556790344679938,0.003119856146463453,0.003549357580851044,0.0011192306461846571,0.003542775091603473,1.0
0 days 00:12:00,2.845610938210987e-05,0.00533442680914359,0.0039314494663324,0.004453773239838012,0.0026979045969206953,0.004443389823981916,1.0
0 days 00:13:00,2.2004355167372104e-05,0.0046908799992508975,0.0035516264128158948,0.0040246916758168855,0.002366718465981233,0.004017344612013647,1.0
0 days 00:14:00,2.5297709821117166e-05,0.005029682874806042,0.0030568299090444027,0.0034650380915134393,0.0021212271086037903,0.0034535500135014913,1.0
0 days 00:15:00,2.167356205653713e-05,0.0046554873060225535,0.0026836333440051797,0.0030408881552489095,0.0014383430617879302,0.0030282234944153975,1.0
0 days 00:16:00,2.4304088910695216e-05,0.0049299177387351215,0.0036222305327963944,0.004104481183958397,0.0025245050525119408,0.004094315707564938,1.0
0 days 00:17:00,3.1505770975811056e-05,0.00561300017600312,0.003990921240676973,0.004526525381398902,0.002459465565985503,0.004512107451551964,1.0
0 days 00:18:00,3.0690950960637e-05,0.005539941422130472,0.004074868206320123,0.004617849653200119,0.0026807481157817,0.004603533012031584,1.0
0 days 00:19:00,2.7770197806421674e-05,0.005269743618661317,0.003451035415526521,0.00390869532789536,0.0023592408533755246,0.003897252198931181,1.0
0 days 00:20:00,2.7427380806656235e-05,0.0052371156953667005,0.0034680006613822464,0.003932003618752594,0.0022023254840373954,0.0039193407707541275,1.0
0 days 00:21:00,2.8549543321469413e-05,0.005343177268392787,0.0033534270132500738,0.0037943376374906176,0.002088314263904751,0.003782561950296408,1.0
0 days 00:22:00,2.3745673449772684e-05,0.004872953257499263,0.0030528336047575093,0.0034554707576708588,0.0013970151123463231,0.003444742629156526,1.0
0 days 00:23:00,3.293676982261094e-05,0.005739056527218646,0.003897093213918297,0.004417336245801026,0.002356233268980304,0.004403886172967407,1.0
0 days 00:24:00,3.748588905546919e-05,0.006122572094754719,0.004250369263305381,0.004825584287169608,0.0032406504924838097,0.004805973868804964,1.0
0 days 00:25:00,3.6783200405135605e-05,0.006064915531574665,0.004531496937242981,0.005148712175855115,0.00344784666378408,0.005129840231359678,1.0
0 days 00:26:00,4.2159084970445286e-05,0.006493002769939751,0.004518199021337037,0.005136800738140247,0.0034738965838472515,0.005116149567875483,1.0
0 days 00:27:00,4.055361142827821e-05,0.006368171749276099,0.004966897333525934,0.005642842271267608,0.00454370138343351,0.005621748469039914,1.0
0 days 00:28:00,4.381085573970753e-05,0.006618976940563212,0.0048378208091698766,0.005527106773174396,0.0030730436933207516,0.005502455798331647,1.0
0 days 00:29:00,4.7532409779685314e-05,0.006894375227653723,0.005230996814334747,0.005968577772017605,0.0056991768966065445,0.005942598218580064,1.0
0 days 00:30:00,4.217723271669136e-05,0.006494400104450862,0.005042884447042199,0.00573677654450909,0.0040585822883763304,0.005714703421208674,1.0
0 days 00:31:00,5.227079764226635e-05,0.007229854607270215,0.005534054970362641,0.006299256143677032,0.005229894402271077,0.006269786158275281,1.0
