horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,1.789733970875728e-05,0.004230524755719707,0.0031984369091525786,0.0036295894711345714,0.0027943084122483463,0.0036235300618749286,1.0
0 days 00:02:00,1.5578915229652352e-05,0.003947013456989012,0.0027921194514117995,0.0031716971886588397,0.0023408424878221244,0.003168107504959515,1.0
0 days 00:03:00,1.7611499590695803e-05,0.004196605722568633,0.003026882550014022,0.003438266516802929,0.002452036940661292,0.0034364555895273832,1.0
0 days 00:04:00,1.9577449194563496e-05,0.004424641137376397,0.0036150074361365123,0.0041038216247950635,0.0031184460262127785,0.00409941562328827,1.0
0 days 00:05:00,2.445904710317667e-05,0.004945608870824367,0.0033331986272120834,0.003786014596688085,0.0015954655589815808,0.0037786661049993703,1.0
0 days 00:06:00,2.5636559916193322e-05,0.005063255861221446,0.0037240365452427815,0.004214679239080456,0.0028372097756208486,0.0042060764409299276,1.0
0 days 00:07:00,2.3524885340466873e-05,0.004850245905154384,0.0036581350569483695,0.004139958209758154,0.0032795714155155896,0.00413644525437664,1.0
0 days 00:08:00,3.125456843599547e-05,0.005590578542154244,0.004574615272005915,0.005189201489675874,0.003815081945024225,0.005180513271953298,1.0
0 days 00:09:00,2.7181374256976195e-05,0.005213575956766737,0.004078845277907521,0.004622570025653833,0.0037615944467827957,0.004617169790944328,1.0
0 days 00:10:00,2.4127744587039792e-05,0.004912000059755678,0.0035432647067507247,0.0040172614959646455,0.00362380397848544,0.004008850378350047,1.0
0 days 00:11:00,2.901572707167063e-05,0.005386624831160105,0.004223396806417368,0.0047980531969824755,0.003379286441745395,0.004789176735802883,1.0
0 days 00:12:00,3.7893958617952756e-05,0.006155806902263322,0.004631326169787939,0.0052484574283152285,0.0038624976891335917,0.005235179765552704,1.0
0 days 00:13:00,3.0501426070474473e-05,0.005522809617438797,0.004569250050151255,0.005175868611336572,0.004244011633289696,0.005166472396910482,1.0
0 days 00:14:00,3.420000029462632e-05,0.005848076632075397,0.004042683575284679,0.004581748948430768,0.0027785235059387195,0.00456747908686863,1.0
0 days 00:15:00,2.9571482844311563e-05,0.005437966793233622,0.003671292235378869,0.004159555571782207,0.001442422493690149,0.004143361616308967,1.0
0 days 00:16:00,3.0095480738011196e-05,0.005485934809857951,0.004206166169639383,0.004765040593690012,0.0037966072950573926,0.004753482656576158,1.0
0 days 00:17:00,3.751554955664288e-05,0.006124993841355506,0.004756474308829188,0.005392503332322315,0.003462499177076003,0.005377154179019218,1.0
0 days 00:18:00,4.133204731143091e-05,0.0064290004908563285,0.005137341598597113,0.005821110376564069,0.004617648812676844,0.005803196984374849,1.0
0 days 00:19:00,3.977845314742613e-05,0.006307016184173474,0.004763687427536058,0.0053922510455140515,0.0034512521715554722,0.005376900852703974,1.0
0 days 00:20:00,3.730658034908701e-05,0.0061079112918482215,0.004514150303641037,0.005116134871329829,0.0039255997191538885,0.0051003321332494245,1.0
0 days 00:21:00,3.6042309180902416e-05,0.006003524729765208,0.003915665548462503,0.0044347294672505005,0.003110647960403521,0.00442103580756608,1.0
0 days 00:22:00,3.3171727906190155e-05,0.005759490247078308,0.004328803699153269,0.004895526576907665,0.003859917642134938,0.004882252933024002,1.0
0 days 00:23:00,4.3840242688587936e-05,0.0066211964695655975,0.004859719511882396,0.0055055282585152465,0.0037030983230383215,0.005489058137460513,1.0
0 days 00:24:00,4.855105457641666e-05,0.006967858679423447,0.00501199532305132,0.005689197631871375,0.004055016158759591,0.005665128779086405,1.0
0 days 00:25:00,5.142581682943614e-05,0.007171179598185792,0.0053909937656627036,0.0061240049261833615,0.004585815416830837,0.006098780405002391,1.0
0 days 00:26:00,5.5840719916996386e-05,0.007472664847094133,0.005653224736035224,0.006420140037250083,0.004146172642240651,0.00639459072243187,1.0
0 days 00:27:00,5.472841847565938e-05,0.0073978658054643966,0.006061804236309705,0.006881688334069866,0.007692206142287694,0.006854975912608877,1.0
0 days 00:28:00,5.7811637479870275e-05,0.007603396443686879,0.005697355274928623,0.006500053086085519,0.007638533982317327,0.00646944988809367,1.0
0 days 00:29:00,6.31161968598883e-05,0.007944570275344558,0.00617824872889812,0.007041410400921447,0.007917624091869463,0.007008917799435452,1.0
0 days 00:30:00,5.68990597129618e-05,0.007543146539274031,0.006061346648203396,0.006888573129067099,0.0071435650272884035,0.006860626209003559,1.0
0 days 00:31:00,6.893522416774231e-05,0.008302723900488461,0.0065599391144992025,0.00746127564907835,0.007036122533844622,0.007424466053177162,1.0
0 days 00:32:00,6.920197077729348e-05,0.008318772191693524,0.006882016836955912,0.007802005924533478,0.006895387996480821,0.00777258517906311,1.0
0 days 00:33:00,7.135867193582717e-05,0.00844740622533492,0.006576187590915841,0.007448958104520537,0.005662285608268059,0.007420586961299283,1.0
0 days 00:34:00,7.205396733324712e-05,0.008488460834170534,0.006394951594806866,0.0072567531862272605,0.0070984556305819894,0.007222738226477607,1.0
0 days 00:35:00,7.327556462641087e-05,0.008560114755446381,0.006673310049880837,0.007564325180209927,0.005055900413199561,0.0075305473670432,1.0
0 days 00:36:00,8.378230286211789e-05,0.009153267332604128,0.00752284211697217,0.008528063013884271,0.009380805226752801,0.00848492161448694,1.0
0 days 00:37:00,8.125372677008594e-05,0.009014084910299322,0.007138444602444893,0.00807714271130533,0.009208426211651669,0.008037566743913496,1.0
0 days 00:38:00,8.108751336577662e-05,0.009004860541162013,0.007622941249866316,0.008638893812639895,0.008645319474476472,0.008597390162626423,1.0
0 days 00:39:00,6.960602087054373e-05,0.008343022286350657,0.0067447770779347355,0.007632344608136457,0.008619012558693954,0.007598698320262817,1.0
0 days 00:40:00,7.044640043144489e-05,0.008393235397118616,0.00654393775432284,0.007410565420280443,0.006515117158334876,0.007371190445870007,1.0
0 days 00:41:00,7.414795764853826e-05,0.00861092083627171,0.0071290502955749235,0.008065411595585117,0.007986228535102984,0.00802482281913812,1.0
0 days 00:42:00,6.126738518907047e-05,0.007827348541432818,0.00612539328494463,0.006920186219478777,0.006196472970094517,0.006884838151077821,1.0
0 days 00:43:00,7.067964825128266e-05,0.008407118903125057,0.007305572787005929,0.008269175077369406,0.006784546713104134,0.008227080843567103,1.0
0 days 00:44:00,9.522996657803501e-05,0.009758584250701278,0.007921390323185493,0.008971598822275745,0.008074119518008235,0.008916824543406754,1.0
0 days 00:45:00,8.468090271542006e-05,0.009202222705163143,0.0075673840135328935,0.00857854225208217,0.0075535411127386955,0.008529875188382885,1.0
0 days 00:46:00,8.336245179104502e-05,0.009130304036068296,0.007045619270427073,0.007979087430832463,0.006083256242356735,0.00792938550500924,1.0
0 days 00:47:00,6.928542408285963e-05,0.008323786643280788,0.0062521313260158334,0.007070058810559887,0.005678294396290926,0.007030198685094899,1.0
0 days 00:48:00,8.125221693745203e-05,0.009014001161385106,0.006984812538086971,0.007912064208787553,0.006517077449750614,0.007864246839010547,1.0
0 days 00:49:00,8.785946572145546e-05,0.009373338024495621,0.007711926383284995,0.00871930630112272,0.007896849696751519,0.008672553126321217,1.0
0 days 00:50:00,0.0001146453299992686,0.010707255950955343,0.008446144682417722,0.00957932287400659,0.007107962514992934,0.009514011846543324,1.0
0 days 00:51:00,0.00010599552880034098,0.010295412998046313,0.007652519399805394,0.008675307270996385,0.006777734991748541,0.00861299051537287,1.0
0 days 00:52:00,0.00010685763519041711,0.01033719667948797,0.008470244826084203,0.009601690755963607,0.007262722330669146,0.009538857011844079,1.0
0 days 00:53:00,0.00010947644135259646,0.010463099031959721,0.008490117611118897,0.009628100312830207,0.006977018635309851,0.009564728142156156,1.0
0 days 00:54:00,0.00011522132729719432,0.010734119772817626,0.008358004155451196,0.009465097962085195,0.008126826560289629,0.009397668561705916,1.0
0 days 00:55:00,0.00012058473768151654,0.010981108217366612,0.008812741264884474,0.009972989983722147,0.008095149111013009,0.00990536898143865,1.0
0 days 00:56:00,0.00011459203806601752,0.010704767072011307,0.008776994641351801,0.009930507780533587,0.008285933053812117,0.009865792600306955,1.0
0 days 00:57:00,0.00012567931493091735,0.01121067861152559,0.009721651540267731,0.011009780437215497,0.009128845058631005,0.010937472992880323,1.0
0 days 00:58:00,9.339966317672293e-05,0.009664350116625687,0.007514422838190163,0.008486772690733516,0.00631483286093735,0.008433824724277006,1.0
0 days 00:59:00,0.0001199498713782951,0.010952162863028247,0.00861927971238513,0.009765153590649861,0.008490199688345863,0.009692832106566976,1.0
0 days 01:00:00,0.00011202468066379622,0.01058417123178741,0.00825893573351777,0.009338933287491538,0.007929610010327175,0.009274207683117236,0.9090909090909083
0 days 01:01:00,0.00011693013199957068,0.010813423694629313,0.008820231417539667,0.009978819959481161,0.00870179545759041,0.009912355184362079,1.0
0 days 01:02:00,0.00011943869800060255,0.010928801306666827,0.008753986070058783,0.009909738660482337,0.006772458167867016,0.009839192976573069,1.0
0 days 01:03:00,0.00011805197605986692,0.010865172619883538,0.008630765693313572,0.009769373905540571,0.0073115711916942544,0.00970109257277213,1.0
0 days 01:04:00,0.0001253623891724785,0.011196534694827613,0.009051085821157157,0.01024164798144081,0.00790459628890776,0.010167169125657058,1.0
0 days 01:05:00,0.00014185591934191442,0.011910328263398723,0.00962965289624261,0.010902029240908384,0.008428154825937494,0.010818265938641283,1.0
0 days 01:06:00,0.00013605131260083485,0.011664103591825428,0.009293748142669755,0.01052956245297379,0.0064127603587910515,0.010447816708375066,1.0
0 days 01:07:00,0.00015937929034053923,0.012624551094614779,0.0100729015884716,0.011408004884431486,0.007842409152011622,0.011313475930358127,0.9090909090909083
0 days 01:08:00,0.0001531619358558214,0.012375861014726264,0.010033378545062421,0.011367355841676224,0.007114107726349573,0.011274623745747864,1.0
0 days 01:09:00,0.0001312981689369139,0.011458541309299098,0.009307074001629861,0.010529754530052324,0.006894006189769029,0.010450467529175278,1.0
0 days 01:10:00,0.00017633293993148894,0.013279041378483951,0.010772231187148665,0.012208550066090229,0.0073147807569956405,0.012101312046685561,0.9090909090909083
0 days 01:11:00,0.0001608479750197032,0.012682585502164107,0.009684058674614623,0.010962204947878973,0.007395634314743714,0.010864800169822483,0.9090909090909083
0 days 01:12:00,0.0001590957849048238,0.012613317759607256,0.01048388101444403,0.011897342431317542,0.00972714302681105,0.01180133883638837,1.0
0 days 01:13:00,0.0001723471842214701,0.013128106650293106,0.01087838665082852,0.012351195316957608,0.009848195974220719,0.012244676676470806,1.0
0 days 01:14:00,0.0001512314552533766,0.01229761990197195,0.009874137400117569,0.011171881892306154,0.008575320282017802,0.011082765676341769,0.9090909090909083
0 days 01:15:00,0.00015943109526688252,0.012626602681120624,0.010114592687815643,0.011447894332834052,0.0098847592756032,0.011356736546739674,0.9090909090909083
0 days 01:16:00,0.00018050172245579334,0.013435092945558409,0.01073409112676492,0.012161493249822256,0.010032716930888202,0.012055963811144793,0.9090909090909083
