horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,1.151494151677184e-05,0.0033933672829170496,0.002584239082261665,0.026482860103685557,0.017286431905835353,0.025922003759361545,1.0
0 days 00:02:00,1.2422348306932068e-05,0.0035245351901962998,0.0027104532520989266,0.027823386965823815,0.0150040289724084,0.02721342505957447,1.0
0 days 00:03:00,1.3003629779864201e-05,0.0036060546002333635,0.0027826093800990583,0.028569353252965612,0.01717440076424061,0.027933726988140894,1.0
0 days 00:04:00,1.4034587342683829e-05,0.003746276463728195,0.0028740854596397344,0.029565618260093796,0.0171935711614509,0.02888505193269786,1.0
0 days 00:05:00,1.4530952979143039e-05,0.003811948711504791,0.002891271784473154,0.029778864486692758,0.018468109336289566,0.029069578193744228,1.0
0 days 00:06:00,1.5128390704456955e-05,0.003889523197572802,0.0030075077748473976,0.030965676553118715,0.020739494968559417,0.030237385464127187,1.0
0 days 00:07:00,1.459973498159532e-05,0.0038209599555079506,0.002944988617694346,0.030278105333494953,0.01994431574821393,0.029584157570876624,0.9090909090909083
0 days 00:08:00,1.4476748651264166e-05,0.003804832276364382,0.0029734988207952666,0.030511977528373424,0.01829285394830349,0.029842389487752363,1.0
0 days 00:09:00,1.38804176919747e-05,0.0037256432588178246,0.0028998166811013484,0.029731660588943443,0.020651544337313338,0.02908238098874799,1.0
0 days 00:10:00,1.4305902037877924e-05,0.0037823143758653806,0.0029852059365694447,0.030629185996871644,0.021691179398063403,0.02995555767724939,1.0
0 days 00:11:00,1.4435125272848037e-05,0.0037993585343907774,0.003001287692142803,0.03084234722714918,0.021906894927023857,0.030138796982781935,0.9090909090909083
0 days 00:12:00,1.5009611588749823e-05,0.003874223998267243,0.003082110023912371,0.0317208584982519,0.019219747894390175,0.03098129003643202,1.0
0 days 00:13:00,1.4713287419853373e-05,0.003835790325324544,0.003021582316337375,0.031089125585861743,0.020534348082678185,0.030361726021998048,1.0
0 days 00:14:00,1.5210865674596688e-05,0.0039001109823435394,0.0031242969394337065,0.0321699842716594,0.019779947833605316,0.03141263059034283,0.9090909090909083
0 days 00:15:00,1.5018783523033046e-05,0.003875407529929342,0.0030398174626992576,0.03132165722470914,0.017582290072387614,0.030568091323278757,1.0
0 days 00:16:00,1.484402073501361e-05,0.00385279388691033,0.0029944240503207986,0.030854075462853292,0.018276236708324255,0.030111196527262296,1.0
0 days 00:17:00,1.4811622672500168e-05,0.003848587100807278,0.002951909408465365,0.03041552062066394,0.016614180220327925,0.029672261968277547,1.0
0 days 00:18:00,1.5852129779048575e-05,0.003981473317636146,0.0029642965039888454,0.03065555556555477,0.01691003066186549,0.029841284226830245,1.0
0 days 00:19:00,1.6637716793515558e-05,0.00407893574275393,0.003004292097278965,0.031128242796851502,0.017658735779420606,0.030263804703997033,0.9090909090909083
0 days 00:20:00,1.7715746134227715e-05,0.004209007737487271,0.0030854406966812596,0.03204026129545928,0.01865814761956032,0.03111534590810744,0.8181818181818183
0 days 00:21:00,1.799067625544976e-05,0.0042415417309570064,0.003126453948033764,0.03244173526231575,0.01882022749097764,0.03149978322720032,0.8181818181818183
0 days 00:22:00,1.8509197400577812e-05,0.004302231676767049,0.003168059034936173,0.032900055849172216,0.019911481745467044,0.03192824166811298,0.8181818181818183
