horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,5.42998615300919e-05,0.007368843975149148,0.005640891130539061,0.0063313992706115485,0.005416425559387927,0.006341804789439021,1.0
0 days 00:02:00,5.560906962759956e-05,0.007457148894021063,0.005767100800087799,0.006479825928740024,0.005218976691206429,0.006492046555524655,1.0
0 days 00:03:00,6.031733130574136e-05,0.007766423327744977,0.006010402525993219,0.006755642596460665,0.00591956293255714,0.006768508389930428,1.0
0 days 00:04:00,5.7390383995131744e-05,0.0075756441307080775,0.005656887728947402,0.006351335152923632,0.00554853493128201,0.006365361703949746,1.0
0 days 00:05:00,5.8564967867894e-05,0.00765277517426809,0.005762413106476738,0.006473729935881911,0.005085390276597687,0.006485053715540368,1.0
0 days 00:06:00,5.975134939289811e-05,0.007729899701347884,0.005929761323130334,0.006657868232516129,0.004944053406433173,0.006669403885533998,1.0
0 days 00:07:00,5.947286546247434e-05,0.007711865238868891,0.00588558397009048,0.006612497536287565,0.0054296263811481425,0.006623755268037601,1.0
0 days 00:08:00,6.387231179559322e-05,0.007992015502712268,0.005999736185965054,0.006745597208710652,0.005846732118887716,0.006759166699294716,1.0
0 days 00:09:00,7.063644362351271e-05,0.008404548983943915,0.006257792041203913,0.007035347352271293,0.005529419065972942,0.0070516253742716195,1.0
0 days 00:10:00,7.134893205625655e-05,0.008446829704466436,0.006174600956842191,0.00694164782193557,0.005349485320640596,0.0069572665278577195,1.0
0 days 00:11:00,7.461049653540146e-05,0.008637736771597146,0.006518430510543738,0.007324588374533925,0.005552167488316252,0.007338386979141076,1.0
0 days 00:12:00,7.97413130623377e-05,0.008929799161366268,0.006817032863755956,0.007668004106562654,0.005618315470762453,0.007678715899865518,1.0
0 days 00:13:00,7.443949181529241e-05,0.0086278323937877,0.006552592201613472,0.0073650893377852356,0.006278869546599884,0.007373882554878586,1.0
0 days 00:14:00,7.817227348980334e-05,0.00884150855283211,0.006695473387034689,0.007522963163505703,0.005965245523817753,0.0075356670055052866,1.0
0 days 00:15:00,7.823204962806307e-05,0.008844888333272674,0.006646706737852948,0.007464282826232793,0.005719100317393366,0.007477799209115565,1.0
0 days 00:16:00,8.34841947049917e-05,0.009136968573054835,0.006926096355115874,0.007780292649575082,0.006500431728443526,0.007795411567466659,1.0
0 days 00:17:00,8.335371364464814e-05,0.009129825499134589,0.006813484174362949,0.007655567401071095,0.00618617643158556,0.007667725219459798,1.0
0 days 00:18:00,8.390522748786839e-05,0.009159979666345793,0.006817119233719027,0.007666476878535722,0.006009162874523992,0.007677642237680082,1.0
0 days 00:19:00,8.58239643718936e-05,0.009264122428589424,0.007062579440308525,0.007938082254980883,0.007161657880382845,0.007948935443216176,1.0
0 days 00:20:00,8.916484948524352e-05,0.009442714095282327,0.007167800320578788,0.008059922598104063,0.006273244638508768,0.008070448321743195,1.0
0 days 00:21:00,9.362603493226051e-05,0.009676054719370933,0.0072952741565726065,0.00819340664710777,0.006845993623712389,0.008207802818032628,1.0
0 days 00:22:00,9.056492976873033e-05,0.009516560816215611,0.00728938700610271,0.008191481386872534,0.0064021968937766315,0.008207889373272936,0.9818181818181841
0 days 00:23:00,9.860025790788506e-05,0.009929766256457653,0.007014294629786311,0.00788775129793784,0.005395383570300788,0.007905310412843314,0.9818181818181841
0 days 00:24:00,0.00010480931797248339,0.010237642207680604,0.007357829205079214,0.008262862298934803,0.006795146895430269,0.008279602757688798,0.9818181818181841
0 days 00:25:00,0.00012097474611212546,0.010998852036104744,0.007710513128534602,0.00862786646111574,0.006353682334716367,0.008657716290336182,0.9636363636363612
0 days 00:26:00,0.00012558703244528943,0.011206562026120652,0.007785749340151971,0.008699878194270871,0.0065624115114021175,0.008732280813977478,0.9636363636363612
0 days 00:27:00,0.0001250412833110814,0.011182185980884123,0.007893096475021122,0.008820682451056883,0.005607971501345218,0.008852256812547588,0.9636363636363612
0 days 00:28:00,0.0001226741635380708,0.011075836922692154,0.0077996357480338285,0.008704055563058588,0.005890262467282397,0.008737423068198302,0.9636363636363612
0 days 00:29:00,0.0001347242325407446,0.011607076830138783,0.007949378589373945,0.008878074470579977,0.005734892673152996,0.008912284553669436,0.9636363636363612
0 days 00:30:00,0.00013550924091973622,0.011640843651545888,0.008115755644232336,0.00906593992206578,0.00639759670553488,0.009100998325411669,0.9454545454545453
0 days 00:31:00,0.0001455413579914966,0.012064052303910847,0.008479979437305385,0.009479032231917484,0.006461201050514261,0.0095154992696449,0.9636363636363612
0 days 00:32:00,0.0001425586231004897,0.011939791585303727,0.008445388428206635,0.009437519204309686,0.00729424422030255,0.009474208944639573,0.9454545454545453
0 days 00:33:00,0.00014093403084491484,0.0118715639595175,0.008428224910944415,0.009432042270773988,0.006970572815711234,0.009467460510368397,0.9454545454545453
0 days 00:34:00,0.00015186495585962564,0.012323350025850343,0.009100119303761922,0.010167551368288508,0.007770114130940982,0.010202916063169032,0.9454545454545453
0 days 00:35:00,0.0001580660666810306,0.012572432806781296,0.009086607743502562,0.01014628240884452,0.007101897140818397,0.010185221232611119,0.9454545454545453
0 days 00:36:00,0.00016842592443000633,0.01297790138774395,0.00945179133323415,0.010561032174965068,0.007442752822515592,0.010596295052943794,0.9454545454545453
0 days 00:37:00,0.00016196611923455576,0.012726591029594522,0.009397215729736952,0.010494071864931898,0.0079630569920935,0.010534515046937143,0.9454545454545453
0 days 00:38:00,0.00016810140328025504,0.01296539252318475,0.009642954620532884,0.010782153904446479,0.008726277158796711,0.010819328902886949,0.9454545454545453
0 days 00:39:00,0.00016595484189245273,0.012882346133078895,0.009492880245357327,0.010607387838851845,0.008799576448954656,0.010649721595665462,0.9454545454545453
0 days 00:40:00,0.0001721234903073656,0.0131195842276867,0.009595167124176407,0.010726154280954026,0.007728101347830548,0.010766460884775841,0.9454545454545453
0 days 00:41:00,0.00016932096094260385,0.013012338796027555,0.009284522349434887,0.010400418426630531,0.00814460540305462,0.010441724397236563,0.9636363636363612
0 days 00:42:00,0.00016827746712761056,0.012972180507825604,0.009313255904951578,0.010436304354787151,0.007873113113440453,0.010479323493080672,0.9636363636363612
0 days 00:43:00,0.00016332751050512732,0.012779965199683736,0.009315970568324783,0.01043651389924627,0.009445987789790293,0.010476342692543716,0.9636363636363612
0 days 00:44:00,0.00017813482929316185,0.013346716049019769,0.009810550318381184,0.010999188223293599,0.008415560026062693,0.011039375948733943,0.9454545454545453
0 days 00:45:00,0.00017708203730355462,0.013307217489150563,0.009652850680529568,0.010815967178251285,0.00852316854900982,0.010854034386702405,0.9454545454545453
0 days 00:46:00,0.00024682081768726515,0.015710532062513514,0.010628544179810628,0.011841145627014993,0.008518302182939612,0.01191525759593659,0.9272727272727295
0 days 00:47:00,0.0001773944089406062,0.013318949243112468,0.009729110283029918,0.010903570669727802,0.008730299394678854,0.010943142842240405,0.9636363636363612
0 days 00:48:00,0.00019045348206921976,0.013800488472123723,0.009953968398991209,0.011150438602549828,0.008440032312528021,0.011195538386716497,0.9454545454545453
