timestamp,metric_name,value,collection_delay,confidence
1753107506.458,cadvisor_version_info,1.0,71.745,0.6
1753107506.512,container_blkio_device_usage_total,278376800768.0,71.918,0.6
1753107506.512,container_blkio_device_usage_total,30314289152.0,73.694,0.6
1753107506.512,container_blkio_device_usage_total,2874202112.0,73.813,0.6
1753107506.512,container_blkio_device_usage_total,0.0,73.941,0.6
1753107506.512,container_blkio_device_usage_total,252946519552.0,74.058,0.6
1753107506.512,container_blkio_device_usage_total,18131602944.0,74.173,0.6
1753107506.512,container_blkio_device_usage_total,221077504.0,74.29,0.6
1753107506.512,container_blkio_device_usage_total,304128.0,74.404,0.6
1753107506.512,container_blkio_device_usage_total,8152190976.0,74.52,0.6
1753107506.512,container_blkio_device_usage_total,17575936.0,74.633,0.6
1753107506.512,container_blkio_device_usage_total,5215744.0,74.746,0.6
1753107506.512,container_blkio_device_usage_total,40758784.0,74.858,0.6
1753107506.512,container_blkio_device_usage_total,12771328.0,75.007,0.6
1753107506.512,container_blkio_device_usage_total,282624.0,75.119,0.6
1753107506.512,container_blkio_device_usage_total,25100450304.0,75.231,0.6
1753107506.512,container_blkio_device_usage_total,3659264.0,75.344,0.6
1753107506.512,container_blkio_device_usage_total,14963653120.0,75.456,0.6
1753107506.512,container_blkio_device_usage_total,166403584.0,75.569,0.6
1753107506.512,container_blkio_device_usage_total,7416066048.0,77.684,0.6
1753107506.512,container_blkio_device_usage_total,89088.0,77.795,0.6
1753107506.512,container_blkio_device_usage_total,311062528.0,77.906,0.6
1753107506.512,container_blkio_device_usage_total,19546112.0,78.128,0.6
1753107506.512,container_blkio_device_usage_total,16483154944.0,78.353,0.6
1753107506.512,container_blkio_device_usage_total,452666880.0,78.465,0.6
1753107506.512,container_blkio_device_usage_total,1120002048.0,78.578,0.6
1753107506.512,container_blkio_device_usage_total,304816128.0,78.691,0.6
1753107506.512,container_blkio_device_usage_total,820207616.0,78.803,0.6
1753107506.512,container_blkio_device_usage_total,15028224.0,78.914,0.6
1753107506.512,container_blkio_device_usage_total,632136192.0,79.028,0.6
1753107506.512,container_blkio_device_usage_total,8219805184.0,79.14,0.6
1753107506.512,container_blkio_device_usage_total,2350895104.0,79.252,0.6
1753107506.512,container_blkio_device_usage_total,100126720.0,79.365,0.6
1753107506.512,container_blkio_device_usage_total,13203709952.0,79.479,0.6
1753107506.512,container_blkio_device_usage_total,14983506432.0,79.705,0.6
1753107506.512,container_blkio_device_usage_total,105714884096.0,79.818,0.6
1753107506.512,container_blkio_device_usage_total,4342272.0,79.93,0.6
1753107506.512,container_blkio_device_usage_total,14799964672.0,80.164,0.6
1753107506.512,container_blkio_device_usage_total,80856877056.0,80.277,0.6
1753107506.512,container_blkio_device_usage_total,8491008.0,80.39,0.6
1753107506.512,container_blkio_device_usage_total,670208.0,80.503,0.6
1753107506.512,container_blkio_device_usage_total,549597184.0,80.617,0.6
1753107506.512,container_blkio_device_usage_total,133390336.0,80.731,0.6
1753107506.512,container_blkio_device_usage_total,4284928.0,80.848,0.6
1753107506.512,container_blkio_device_usage_total,60356096.0,80.978,0.6
1753107506.512,container_blkio_device_usage_total,3448832.0,81.099,0.6
1753107506.512,container_blkio_device_usage_total,888832.0,81.211,0.6
1753107506.512,container_blkio_device_usage_total,73368064.0,81.323,0.6
1753107506.512,container_blkio_device_usage_total,2304000.0,81.437,0.6
1753107506.512,container_blkio_device_usage_total,3371008.0,81.55,0.6
1753107506.512,container_blkio_device_usage_total,98304.0,81.662,0.6
1753107506.512,container_blkio_device_usage_total,1134592.0,83.684,0.6
1753107506.512,container_blkio_device_usage_total,117584896.0,83.916,0.6
1753107506.512,container_blkio_device_usage_total,2563862528.0,84.03,0.6
1753107506.512,container_blkio_device_usage_total,82079744.0,84.145,0.6
1753107506.512,container_blkio_device_usage_total,102961152.0,84.258,0.6
1753107506.512,container_blkio_device_usage_total,148852736.0,84.374,0.6
1753107506.512,container_blkio_device_usage_total,753664.0,84.488,0.6
1753107506.512,container_blkio_device_usage_total,1048576.0,84.602,0.6
1753107506.512,container_blkio_device_usage_total,88784896.0,84.831,0.6
1753107506.512,container_blkio_device_usage_total,81920.0,85.058,0.6
1753107506.512,container_blkio_device_usage_total,166191104.0,85.284,0.6
1753107506.512,container_blkio_device_usage_total,731602944.0,85.397,0.6
1753107506.512,container_blkio_device_usage_total,146620416.0,85.511,0.6
1753107506.512,container_blkio_device_usage_total,13852672.0,85.741,0.6
1753107506.512,container_blkio_device_usage_total,95916032.0,85.969,0.6
1753107506.512,container_blkio_device_usage_total,91537408.0,86.208,0.6
1753107506.512,container_blkio_device_usage_total,1542150144.0,86.325,0.6
1753107506.512,container_blkio_device_usage_total,1826816.0,86.438,0.6
1753107506.512,container_blkio_device_usage_total,3473408.0,86.678,0.6
1753107506.512,container_blkio_device_usage_total,2072576.0,86.908,0.6
1753107506.512,container_blkio_device_usage_total,87199744.0,87.14,0.6
1753107506.512,container_blkio_device_usage_total,1671229440.0,87.254,0.6
1753107506.512,container_blkio_device_usage_total,8691712.0,87.38,0.6
1753107506.512,container_blkio_device_usage_total,9416704.0,87.497,0.6
1753107506.512,container_blkio_device_usage_total,1073152.0,87.611,0.6
1753107506.512,container_blkio_device_usage_total,61440.0,87.838,0.6
1753107506.512,container_blkio_device_usage_total,1125888.0,88.064,0.6
1753107506.512,container_blkio_device_usage_total,5530112.0,88.288,0.6
1753107506.512,container_blkio_device_usage_total,30093062656.0,88.4,0.6
1753107506.512,container_blkio_device_usage_total,593920.0,88.513,0.6
1753107506.512,container_blkio_device_usage_total,13934592.0,88.736,0.6
1753107506.512,container_blkio_device_usage_total,140321280.0,88.96,0.6
1753107506.512,container_blkio_device_usage_total,12768468992.0,89.072,0.6
1753107506.512,container_blkio_device_usage_total,38707200.0,89.184,0.6
1753107506.512,container_blkio_device_usage_total,110772736.0,89.406,0.6
1753107506.512,container_blkio_device_usage_total,227119104.0,89.519,0.6
1753107506.512,container_blkio_device_usage_total,162164736.0,91.684,0.6
1753107506.512,container_blkio_device_usage_total,25608192.0,91.908,0.6
1753107506.512,container_blkio_device_usage_total,330935296.0,92.131,0.6
1753107506.512,container_blkio_device_usage_total,1054621184.0,92.243,0.6
1753107506.512,container_blkio_device_usage_total,6816806400.0,92.353,0.6
1753107506.512,container_blkio_device_usage_total,25891129344.0,92.464,0.6
1753107506.512,container_blkio_device_usage_total,27873280.0,92.576,0.6
1753107506.512,container_blkio_device_usage_total,18511360.0,92.688,0.6
1753107506.512,container_blkio_device_usage_total,1880064.0,92.801,0.6
1753107506.512,container_blkio_device_usage_total,2195456.0,93.026,0.6
1753107506.512,container_blkio_device_usage_total,1162158080.0,93.265,0.6
1753107506.512,container_blkio_device_usage_total,208896.0,93.376,0.6
1753107506.512,container_blkio_device_usage_total,31539200.0,93.488,0.6
1753107506.512,container_blkio_device_usage_total,4114644992.0,93.72,0.6
1753107506.512,container_blkio_device_usage_total,5245919232.0,93.948,0.6
1753107506.512,container_blkio_device_usage_total,62861312.0,94.173,0.6
1753107506.512,container_blkio_device_usage_total,9453568.0,94.396,0.6
1753107506.512,container_blkio_device_usage_total,32768.0,94.507,0.6
1753107506.512,container_blkio_device_usage_total,221581312.0,94.619,0.6
1753107506.512,container_blkio_device_usage_total,21052809216.0,94.843,0.6
1753107506.512,container_blkio_device_usage_total,14464004096.0,95.067,0.6
1753107506.512,container_blkio_device_usage_total,2138112.0,95.289,0.6
1753107506.512,container_blkio_device_usage_total,413134848.0,95.511,0.6
1753107506.512,container_blkio_device_usage_total,259284992.0,95.735,0.6
1753107506.512,container_blkio_device_usage_total,8192.0,95.849,0.6
1753107506.512,container_blkio_device_usage_total,4722688.0,96.19,0.6
1753107506.512,container_blkio_device_usage_total,2826240.0,96.416,0.6
1753107506.512,container_blkio_device_usage_total,1110016.0,96.638,0.6
1753107506.512,container_blkio_device_usage_total,156893184.0,97.312,0.6
1753107506.512,container_blkio_device_usage_total,16245462016.0,97.535,0.6
1753107506.512,container_blkio_device_usage_total,2470687744.0,97.647,0.6
1753107506.512,container_blkio_device_usage_total,31756288.0,97.759,0.6
1753107506.512,container_blkio_device_usage_total,16384.0,97.87,0.6
1753107506.512,container_blkio_device_usage_total,4844212224.0,97.981,0.6
1753107506.512,container_blkio_device_usage_total,232824832.0,98.092,0.6
1753107506.512,container_blkio_device_usage_total,4096.0,98.205,0.6
1753107506.512,container_blkio_device_usage_total,163840.0,98.43,0.6
1753107506.512,container_blkio_device_usage_total,12288.0,98.541,0.6
1753107506.512,container_blkio_device_usage_total,10258669568.0,98.876,0.6
1753107506.512,container_blkio_device_usage_total,457326592.0,98.99,0.6
1753107506.512,container_blkio_device_usage_total,5015592960.0,99.101,0.6
1753107506.512,container_blkio_device_usage_total,126976.0,99.213,0.6
1753107506.512,container_blkio_device_usage_total,232796160.0,99.326,0.6
1753107506.512,container_blkio_device_usage_total,696320.0,99.437,0.6
1753107506.512,container_blkio_device_usage_total,2763909120.0,99.549,0.6
1753107506.512,container_blkio_device_usage_total,1077248.0,101.685,0.6
1753107506.512,container_blkio_device_usage_total,127131648.0,101.797,0.6
1753107506.512,container_blkio_device_usage_total,13678460928.0,101.911,0.6
1753107506.512,container_blkio_device_usage_total,2119942144.0,102.025,0.6
1753107506.512,container_blkio_device_usage_total,2128900096.0,102.251,0.6
1753107506.512,container_blkio_device_usage_total,10585606144.0,102.479,0.6
1753107506.512,container_blkio_device_usage_total,512512.0,102.591,0.6
1753107506.512,container_blkio_device_usage_total,2181705728.0,102.703,0.6
1753107506.512,container_blkio_device_usage_total,2266492928.0,102.93,0.6
1753107506.512,container_blkio_device_usage_total,1150234624.0,103.157,0.6
1753107506.512,container_blkio_device_usage_total,13261488128.0,103.386,0.6
1753107506.512,container_blkio_device_usage_total,31453184.0,103.618,0.6
1753107506.512,container_blkio_device_usage_total,1572864.0,103.733,0.6
1753107506.512,container_blkio_device_usage_total,1280958464.0,103.848,0.6
1753107506.512,container_blkio_device_usage_total,647315456.0,104.077,0.6
1753107506.512,container_blkio_device_usage_total,19382272.0,104.304,0.6
1753107506.512,container_blkio_device_usage_total,44724224.0,104.417,0.6
1753107506.512,container_blkio_device_usage_total,4576755712.0,104.53,0.6
1753107506.512,container_blkio_device_usage_total,141230080.0,104.641,0.6
1753107506.512,container_blkio_device_usage_total,17256448.0,104.769,0.6
1753107506.512,container_blkio_device_usage_total,255139328.0,105.003,0.6
1753107506.512,container_blkio_device_usage_total,39874560.0,105.115,0.6
1753107506.512,container_blkio_device_usage_total,2189619200.0,105.229,0.6
1753107506.512,container_blkio_device_usage_total,11177984.0,105.455,0.6
1753107506.512,container_blkio_device_usage_total,665088.0,105.792,0.6
1753107506.512,container_blkio_device_usage_total,1832448.0,105.906,0.6
1753107506.512,container_blkio_device_usage_total,61067264.0,106.019,0.6
1753107506.512,container_blkio_device_usage_total,7069696.0,106.135,0.6
1753107506.512,container_blkio_device_usage_total,34704439296.0,106.363,0.6
1753107506.512,container_blkio_device_usage_total,1000267776.0,106.476,0.6
1753107506.594,container_cpu_load_average_10s,0.0,106.506,0.6
1753107506.662,container_cpu_system_seconds_total,146162.394441,124.086,0.6
1753107506.662,container_cpu_system_seconds_total,33.141128,124.196,0.6
1753107506.662,container_cpu_system_seconds_total,147732.364155,124.306,0.6
1753107506.662,container_cpu_system_seconds_total,3.45778,124.418,0.6
1753107506.662,container_cpu_system_seconds_total,165.749965,124.53,0.6
1753107506.662,container_cpu_system_seconds_total,3.46472,124.641,0.6
1753107506.662,container_cpu_system_seconds_total,0.972695,124.752,0.6
1753107506.662,container_cpu_system_seconds_total,1566.433258,124.863,0.6
1753107506.662,container_cpu_system_seconds_total,2.872446,124.974,0.6
1753107506.662,container_cpu_system_seconds_total,2.475405,125.086,0.6
1753107506.662,container_cpu_system_seconds_total,808.845151,125.211,0.6
1753107506.662,container_cpu_system_seconds_total,0.001443,125.322,0.6
1753107506.662,container_cpu_system_seconds_total,70.708483,126.534,0.6
1753107506.662,container_cpu_system_seconds_total,0.06983,126.645,0.6
1753107506.662,container_cpu_system_seconds_total,52.435422,126.756,0.6
1753107506.662,container_cpu_system_seconds_total,11.194883,126.867,0.6
1753107506.662,container_cpu_system_seconds_total,5379.796214,126.979,0.6
1753107506.662,container_cpu_system_seconds_total,1606.344519,127.09,0.6
1753107506.662,container_cpu_system_seconds_total,51.223243,127.202,0.6
1753107506.662,container_cpu_system_seconds_total,0.762751,127.312,0.6
1753107506.662,container_cpu_system_seconds_total,2180.187998,127.423,0.6
1753107506.662,container_cpu_system_seconds_total,0.002891,127.535,0.6
1753107506.662,container_cpu_system_seconds_total,0.323966,127.646,0.6
1753107506.662,container_cpu_system_seconds_total,0.242261,127.758,0.6
1753107506.662,container_cpu_system_seconds_total,0.003732,127.872,0.6
1753107506.662,container_cpu_system_seconds_total,40.281975,127.983,0.6
1753107506.662,container_cpu_system_seconds_total,72.514349,128.094,0.6
1753107506.662,container_cpu_system_seconds_total,0.051205,128.205,0.6
1753107506.662,container_cpu_system_seconds_total,0.094934,128.427,0.6
1753107506.662,container_cpu_system_seconds_total,0.007376,128.538,0.6
1753107506.662,container_cpu_system_seconds_total,0.0,128.761,0.6
1753107506.662,container_cpu_system_seconds_total,0.019323,128.874,0.6
1753107506.662,container_cpu_system_seconds_total,71.434636,128.985,0.6
1753107506.662,container_cpu_system_seconds_total,2.379041,129.098,0.6
1753107506.662,container_cpu_system_seconds_total,4.588678,129.21,0.6
1753107506.662,container_cpu_system_seconds_total,4.578012,129.322,0.6
1753107506.662,container_cpu_system_seconds_total,228.203859,129.433,0.6
1753107506.662,container_cpu_system_seconds_total,7847.574658,129.544,0.6
1753107506.662,container_cpu_system_seconds_total,24.058261,129.656,0.6
1753107506.662,container_cpu_system_seconds_total,293.954553,129.769,0.6
1753107506.662,container_cpu_system_seconds_total,385.269057,129.884,0.6
1753107506.662,container_cpu_system_seconds_total,37961.653153,129.998,0.6
1753107506.662,container_cpu_system_seconds_total,10.215755,130.113,0.6
1753107506.662,container_cpu_system_seconds_total,40787.252837,130.227,0.6
1753107506.662,container_cpu_system_seconds_total,9.00991,130.338,0.6
1753107506.662,container_cpu_system_seconds_total,601.203736,130.453,0.6
1753107506.662,container_cpu_system_seconds_total,5.703158,130.568,0.6
1753107506.662,container_cpu_system_seconds_total,1.446564,130.68,0.6
1753107506.662,container_cpu_system_seconds_total,2801.889362,130.791,0.6
1753107506.662,container_cpu_system_seconds_total,7.89793,130.903,0.6
1753107506.662,container_cpu_system_seconds_total,8.101264,131.014,0.6
1753107506.662,container_cpu_system_seconds_total,2887.901031,131.126,0.6
1753107506.662,container_cpu_system_seconds_total,449.545764,131.348,0.6
1753107506.662,container_cpu_system_seconds_total,117.659058,131.459,0.6
1753107506.662,container_cpu_system_seconds_total,0.271674,131.57,0.6
1753107506.662,container_cpu_system_seconds_total,86.416631,131.681,0.6
1753107506.662,container_cpu_system_seconds_total,30.872219,131.792,0.6
1753107506.662,container_cpu_system_seconds_total,968.223195,131.907,0.6
1753107506.662,container_cpu_system_seconds_total,73.390863,132.019,0.6
1753107506.662,container_cpu_system_seconds_total,2518.457066,132.131,0.6
1753107506.662,container_cpu_system_seconds_total,107.313793,132.242,0.6
1753107506.662,container_cpu_system_seconds_total,3871.894154,132.353,0.6
1753107506.662,container_cpu_system_seconds_total,0.006352,132.464,0.6
1753107506.662,container_cpu_system_seconds_total,0.396421,132.575,0.6
1753107506.662,container_cpu_system_seconds_total,0.872284,132.687,0.6
1753107506.662,container_cpu_system_seconds_total,0.003686,132.797,0.6
1753107506.662,container_cpu_system_seconds_total,189.034097,132.91,0.6
1753107506.662,container_cpu_system_seconds_total,53.165344,133.022,0.6
1753107506.662,container_cpu_system_seconds_total,0.059017,133.134,0.6
1753107506.662,container_cpu_system_seconds_total,0.085743,133.361,0.6
1753107506.662,container_cpu_system_seconds_total,0.007215,133.474,0.6
1753107506.662,container_cpu_system_seconds_total,0.016414,133.816,0.6
1753107506.662,container_cpu_system_seconds_total,184.23832,133.929,0.6
1753107506.662,container_cpu_system_seconds_total,0.984518,134.042,0.6
1753107506.662,container_cpu_system_seconds_total,3.812081,134.153,0.6
1753107506.662,container_cpu_system_seconds_total,3.795743,134.265,0.6
1753107506.662,container_cpu_system_seconds_total,61.227684,134.377,0.6
1753107506.662,container_cpu_system_seconds_total,3774.492529,134.496,0.6
1753107506.662,container_cpu_system_seconds_total,509.183499,134.611,0.6
1753107506.662,container_cpu_system_seconds_total,12486.233115,134.723,0.6
1753107506.662,container_cpu_system_seconds_total,32.634616,134.835,0.6
1753107506.662,container_cpu_system_seconds_total,640.252757,134.949,0.6
1753107506.662,container_cpu_system_seconds_total,1372.050504,135.062,0.6
1753107506.662,container_cpu_system_seconds_total,298.254515,135.175,0.6
1753107506.662,container_cpu_system_seconds_total,903.811464,135.303,0.6
1753107506.662,container_cpu_system_seconds_total,2628.027407,135.42,0.6
1753107506.662,container_cpu_system_seconds_total,10.947056,135.535,0.6
1753107506.662,container_cpu_system_seconds_total,0.071157,135.65,0.6
1753107506.662,container_cpu_system_seconds_total,29.811952,135.784,0.6
1753107506.662,container_cpu_system_seconds_total,0.419518,135.908,0.6
1753107506.662,container_cpu_system_seconds_total,136.693619,136.023,0.6
1753107506.662,container_cpu_system_seconds_total,0.104477,136.135,0.6
1753107506.662,container_cpu_system_seconds_total,594.744228,136.247,0.6
1753107506.662,container_cpu_system_seconds_total,121.246641,136.359,0.6
1753107506.662,container_cpu_system_seconds_total,7.994767,136.472,0.6
1753107506.662,container_cpu_system_seconds_total,2345.908049,136.584,0.6
1753107506.662,container_cpu_system_seconds_total,76.707589,136.696,0.6
1753107506.662,container_cpu_system_seconds_total,3966.883897,136.807,0.6
1753107506.662,container_cpu_system_seconds_total,5739.728254,136.919,0.6
1753107506.662,container_cpu_system_seconds_total,369.7266,137.031,0.6
1753107506.662,container_cpu_system_seconds_total,8353.387329,137.144,0.6
1753107506.662,container_cpu_system_seconds_total,4392.688256,137.258,0.6
1753107506.662,container_cpu_system_seconds_total,29.443096,137.376,0.6
1753107506.662,container_cpu_system_seconds_total,748.697538,137.49,0.6
1753107506.662,container_cpu_system_seconds_total,4.707408,137.605,0.6
1753107506.662,container_cpu_system_seconds_total,47.624724,137.718,0.6
1753107506.662,container_cpu_system_seconds_total,46.554986,137.841,0.6
1753107506.662,container_cpu_system_seconds_total,138.811299,137.959,0.6
1753107506.662,container_cpu_system_seconds_total,74.738118,138.084,0.6
1753107506.662,container_cpu_system_seconds_total,176.629017,138.198,0.6
1753107506.662,container_cpu_system_seconds_total,5.704025,138.312,0.6
1753107506.662,container_cpu_system_seconds_total,6482.728221,138.427,0.6
1753107506.662,container_cpu_system_seconds_total,23.771646,138.541,0.6
1753107506.662,container_cpu_system_seconds_total,89011.594079,138.654,0.6
1753107506.662,container_cpu_system_seconds_total,138.595865,138.77,0.6
1753107506.662,container_cpu_system_seconds_total,2.291803,138.881,0.6
1753107506.662,container_cpu_system_seconds_total,0.333428,138.994,0.6
1753107506.662,container_cpu_system_seconds_total,0.434785,139.108,0.6
1753107506.662,container_cpu_system_seconds_total,0.448161,139.221,0.6
1753107506.662,container_cpu_system_seconds_total,925.76788,139.342,0.6
1753107506.662,container_cpu_system_seconds_total,0.401605,139.457,0.6
1753107506.662,container_cpu_system_seconds_total,0.100205,139.59,0.6
1753107506.662,container_cpu_system_seconds_total,0.013306,141.534,0.6
1753107506.662,container_cpu_system_seconds_total,0.006501,141.645,0.6
1753107506.662,container_cpu_system_seconds_total,0.057958,141.758,0.6
1753107506.662,container_cpu_system_seconds_total,0.008247,141.87,0.6
